Name,Phone,Email,Address,Category
Don Predict,"
0914 870 9940",contact@donpredict.com,"
73VX+8G5, Ramat Mohammed Layout, Abakaliki 482103, Ebonyi",Sports Facilities
Abakaliki Township Stadium,"
0701 464 4219",,"
Enugu - Ogoja Road, Ntezi Abba, Abakaliki 480106, Ebonyi",Sports Facilities
Abakaliki Stadium,"
0816 561 4834",,"
84F6+6RC, Azuiyi Udene, Abakaliki 480106, Ebonyi",Sports Facilities
Sports bar,,,"
83MR+WX2, Ntezi Abba, Abakaliki 480106, Ebonyi",Sports Facilities
Esthington Basketball Academy,"
0916 256 3077",,"
83GJ+5GJ, Ezza Rd, Abakaliki, 482101, Ebonyi",Sports Facilities
Mega Gym,"
0708 625 4037",,"
8474+66V, Afikpo Rd, Abakaliki 480108, Ebonyi",Sports Facilities
Ballers Club,"
0810 913 3076",,"
84J2+3JX, Ntezi Abba, Abakaliki 480106, Ebonyi",Sports Facilities
Club Solace,"
0703 939 5370",,"
Off 43 Nkaliki Rd, Ntezi Abba, Abakaliki 482103, Ebonyi",Sports Facilities
Sports Affairs,"
0803 394 8085",,"
1a Ogoja Rd, Abakaliki 480106, Ebonyi",Sports Facilities
John sport shop,"
0802 790 1387",,"
69 Afikpo Rd, Abakaliki 480108, Ebonyi",Sports Facilities
Mega Gym,"
0708 625 4037",,"
8474+66V, Afikpo Rd, Abakaliki 480108, Ebonyi",Gym
Club Solace,"
0703 939 5370",,"
Off 43 Nkaliki Rd, Ntezi Abba, Abakaliki 482103, Ebonyi",Gym
Impetus laba fitness club,"
0813 483 6387",,"
Ebonyi state township stadium, Abakaliki 480103",Gym
Smart and Fit Wellness Resources,,,"
No 1 old enugu road, Recreation club, Abakaliki",Gym
"Tastia Restaurant, Bakery and Cafe","
0703 998 5714",,"
1 Brackenbury St, LGA, Abakaliki 480251, Ebonyi",Restaurant
Native Delicacies Restaurant Abakaliki/FUNAI,"
0803 309 3528",,"
66 Ogoja Rd, Azuiyi Udene, Abakaliki 480101, Ebonyi",Restaurant
Village Kraft bistro,"
0707 801 3951",,"
83PV+F47, Chief Okodue St, Ntezi Abba, Abakaliki 480106, Ebonyi",Restaurant
PARIS CAFE AND RESTAURANT,"
0703 230 3194",info@parisnightlife.online,"
No 4 ezekwesiri street, Abakaliki 480106, Ebonyi",Restaurant
