Name,Phone,Email,Address,Category
Dutse Sport Compex,,,"
Dutse 720101, Jigawa",Sports Facilities
Sports Complex,,,"
P82M+XJR, Dutse 720101, Jigawa",Sports Facilities
Exclusive Gym,,,"
P946+7XH, Dutse 720101, Jigawa",Sports Facilities
Exclusive Gym,,,"
P946+7XH, Dutse 720101, Jigawa",Gym
Prince Gym and Fitness Center,"
0706 488 1870",,"
M8VX+7RQ, Ibrahim Aliyu Way Bypass, Dutse 720101, Jigawa",Gym
Classical Gym Arena,"
0806 688 0296",Jigawa+234-8066880296+234-8142808110classicalgymarena@gmail.comEmail,"
No.C16, Government house, road, Dutse 720101, Jigawa",Gym
Trurunners Companney,"
0803 441 9949",,"
P966+XMJ gida dubu, Dutse 720101, Jigawa",Gym
Hasinah Confectionery and Restaurant,"
0704 700 6060",,"
Plot 44ANuhuMuhammaduSanusiWay, Dutse 720101, Jigawa",Restaurant
Salmat restaurant,,,"
P9C5+8F9, Dutse 720101, Jigawa",Restaurant
DUTSE Assabr restaurant,"
0706 565 1970",,"
Sahad stores Along kiyawa, road, Dutse, Jigawa",Restaurant
Yahuza Suya Spot Nig Ltd,,,"
P952+VJJ, Dutse 720101, Jigawa",Restaurant
Chef n Baker,"
0803 962 4452",,"
2 & 3, Asmau House, G9 Way, Dutse",Restaurant
Sansani restaurant and catering services,"
0803 779 2051",,"
P976+883, Abdullahi Maikano Way, Dutse 720101, Jigawa",Restaurant
YUM DELIVERY,"
0803 228 0081",,"
Fatima Plaza, Government House Road, Dutse",Restaurant
Fatima Plaza,,,"
No. 2 Government House Road, Dutse",Restaurant
ILFAS RESTAURANT AND CATERING SERVICES,,,"
Government Road, Dutse 720101, Jigawa",Restaurant
Grills by saarah,"
0706 482 5002",,"
Adamu A, Maje road, beside police area command gida dubu, Dutse 720101, Jigawa",Restaurant
BS HIVE HOTEL AND SUITES,,,,Hotel
Tahir Hotel And Restaurant,,,"
P82P+78Q Takur Adua, Dutse 720101, Jigawa",Hotel
Grand Ambar Palace Hotel and suites,,,"
P88P+447, Airport road, Dutse 720101, Jigawa",Hotel
Dutse Suites and Hotel,,,"
49M7+98W, Kubwa 901101, Federal Capital Territory",Hotel
"Duby's Suite, Dutse",,,"
593G+W63, Dutse Makaranta, Gwagwa",Hotel
Bege Guest Inn,,,"
P975+J6M, Waziri Ibrahim Street, Dutse, Gumel",Hotel
MTown Hotel and Suites,"
0802 447 9308",,"
Sani Abacha way, opp. Aminu Kano Triangle Square, Dutse 720101, Jigawa",Hotel
Modoc Hotel,"
0706 448 7903",,"
Central Market, Area Council, Close, adjacent K-Grill Empire, to, Gwagwalada 902101, Federal Capital Territory",Hotel
Marabas Ultimate Hotels,"
0805 165 2851",,"
Haikmi Road, Town, Dutse 112020, Jigawa",Hotel
NACC FAMILY HOUSE,"
0703 831 2738",,"
P935+9FJ, Ibrahim Aliyu Way, Bypass, Dutse 720101, Jigawa",Service Apartment
Eagles Hotel & Apartments,0703 831 2738,,"
Eagles Hotel, behind Tiv church, Zone 4 Dutse, Dutse Alhaji 901101, Federal Capital Territory",Service Apartment
Haitel Guest Inn,"
0816 880 0614",,"
P86W+R4J, Government Road, Dutse 720101, Jigawa",Service Apartment
Clover Apartments and Suites,"
0809 312 0947",,"
Apo Dutse, Apo, Abuja",Service Apartment
NINO VALLEY APARTMENT AND SUITES,,,"
1 LINUS OKPEBHOLO STREET, SAGWARI LAYOUT, DUTSE 901101, Federal Capital Territory",Service Apartment
Big Dreams Apartments,"
0806 847 3111",,"
1 Awoyinka Crescent, Dutse Sokale, off Panaf Drive, Bwari 901101, Federal Capital Territory",Service Apartment
MCBS HOTEL & APARTMENTS,"
0707 693 0447",,"
A God's Own Estate, No. 17 Apo District, Wumba, Dutse 900104, Federal Capital Territory",Service Apartment
"1Apartment, Dutse Alhaji","
0818 930 2157",,"
M175, Extension 3, Abuja 901101, Federal Capital Territory",Service Apartment
Adejo's Apartment,,,"
72 zhabu, Dutse",Service Apartment
Apo dutse by Lush view hotel,,,"
XFMP+QHX, Abuja 900110, Federal Capital Territory",Service Apartment
Dutse Sport Compex,,,,Sport facility
Sports Complex,,,"
P82M+XJR, Dutse 720101, Jigawa",Sport facility
Mabudi Barbing Salon,"
0810 480 5558",,"
Ibrahim Aliyu Way Bypass, Dutse 720101, Jigawa",Salon
Zee Nice Salon,,,"
P965+RH3, Abdullahi Maikano Way, Dutse 720101, Jigawa",Salon
Snazzy Dredlocs Saloon Dutse Jigawa,"
0803 284 9557",,"
Dutse Ultra modern Market, adjacent police outpost, Dutse 720101, Jigawa",Salon
